DATEPRD,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
2014-09-27,199.52706666666666,106.68268395833333,158.48590541666667,17.540532916666667,11.424670833333334,41.04116125,32.43108291666667,12.63678125,195.97,29965.51,0.0
2014-09-28,199.513751875,106.67759541666666,158.587483125,17.530887916666668,11.414193958333334,40.92626875,33.04244520833333,12.519944791666667,195.23,29793.36,0.0
2014-09-29,201.76669495003068,106.66806402740755,162.0945901193584,17.62940021325126,3.049229375,39.672104830672275,35.31348251751903,11.309702038344922,11.4,2599.27,0.0
2014-09-30,215.24200567751822,105.70020832742152,164.74865196579492,7.662605718822902,7.256605625,50.4933537117233,27.23626450836981,22.089036013389258,113.56,29051.51,0.0
2014-10-01,200.02641604166666,106.621480625,156.01685833333335,16.016696041666666,11.614281458333334,44.00955770833333,29.799108958333335,15.561449583333333,190.34,30903.32,6.49
2014-10-02,200.27339541666666,106.62983541666667,156.23318875,16.324196666666666,11.026069791666666,44.04020666666667,31.634946458333335,15.594635,195.31,31131.4,6.23
2014-10-03,201.69213125,106.625438125,159.08316833333333,15.700425208333334,11.044865416666667,42.60896291666667,28.732503958333332,13.673537291666667,178.28,27855.23,6.07
2014-10-04,199.84485229166665,106.68597208333334,159.34311666666667,17.0387225,11.57861,40.501735625,29.964149791666667,12.043045625,191.59,29375.25,6.31
2014-10-05,200.44157125,106.68120395833333,159.42469479166667,17.29394125,11.460823125,41.016876458333336,31.434897291666665,12.500497916666667,188.43,28861.41,6.36
2014-10-06,200.35359541666668,106.68727416666667,159.36537583333333,17.154047916666666,11.45266125,40.98821958333333,26.473291458333332,12.523182083333333,187.38,28663.2,6.33
2014-10-07,199.93715604166667,106.70347854166667,158.949304375,17.241932916666666,11.498738958333334,40.987851666666664,25.430825625,12.515610208333333,189.53,28331.6,6.1
2014-10-08,201.34219583333334,106.66196085106382,159.87954328014183,16.701374791666666,11.195681458333333,41.46265255319149,30.234460208333335,12.992435319148937,184.91,28847.91,6.16
2014-10-09,200.193053125,106.698383125,159.307114375,17.300427083333332,11.423444166666666,40.88593875,30.481301041666665,12.39234375,190.7,29535.05,6.22
2014-10-10,199.97521,106.70779020833334,159.02358416666667,17.46328375,11.373162916666667,40.95162583333333,32.2098625,12.477262083333333,192.62,29778.58,5.92
2014-10-11,199.81986875,106.70988208333333,158.88577270833332,17.658952916666667,11.38993375,40.93409604166666,32.37662875,12.473648125,190.47,29395.18,5.92
2014-10-12,200.53249604166666,106.68246375,159.69184625,17.087687291666665,11.35187625,40.840649791666664,33.06737833333333,12.392127083333333,189.35,29199.74,5.9
2014-10-13,199.64303333333334,106.708651875,158.89670395833335,17.686348541666668,11.370441041666666,40.746329375,35.34999625,12.28590875,188.14,29101.52,6.1
2014-10-14,199.56619458333333,106.70565041666667,158.97628541666666,17.500517916666666,11.408917708333334,40.589909166666665,35.21417291666667,12.111258125,188.31,29134.01,6.14
2014-10-15,199.7634375,106.69684,158.95989666666668,17.458800416666666,11.391773958333333,40.80354083333334,35.23643270833333,12.321871041666666,188.35,29040.1,6.06
2014-10-16,200.25474604166666,106.67600208333333,159.46560104166667,16.840105416666667,11.379853333333333,40.789145,30.431322708333333,12.321223541666667,187.05,28807.62,5.95
2014-10-17,199.619419375,106.692680625,158.99893104166668,17.013212708333334,11.430487083333333,40.620488333333334,28.52830833333333,12.144276041666666,186.89,28876.57,5.95
2014-10-18,199.80904229166666,106.68446291666666,158.99458583333333,16.795207291666667,11.37275875,40.81445645833333,28.838076041666667,12.337175833333333,187.21,28994.53,5.92
2014-10-19,200.35446645833332,106.66259770833334,159.61417270833334,16.36317,11.330427291666666,40.74029375,31.029773333333335,12.250092291666666,187.62,29051.66,5.9
2014-10-20,200.00305104166668,106.67046395833333,159.42893333333333,16.413960416666665,11.341199375,40.57411770833333,32.620656458333336,12.08362625,185.91,28865.54,5.89
2014-10-21,199.36906854166668,106.68831895833333,158.82536833333333,16.535487708333335,11.409463125,40.543700208333334,30.049368541666666,12.049469166666666,190.31,29226.68,5.9
2014-10-22,199.765085625,106.67274333333333,159.08498708333335,16.286821041666666,11.345571458333334,40.680098541666666,31.370503125,12.177847291666666,188.87,29148.78,5.99
2014-10-23,200.27575166666668,106.65245875,159.66039458333333,16.010286458333333,11.284780416666667,40.615357083333336,30.635405416666668,12.123744166666667,188.29,29164.55,5.87
2014-10-24,201.05661652173913,106.62859145652173,160.09718172826086,15.866025097826087,10.5368275,40.95943479347826,31.20125359782609,12.449688826086957,174.21,26947.16,5.47
2014-10-25,201.44286374427523,106.56615139321758,160.8067815764578,14.784431500370264,9.507662708333333,40.636082167817435,27.916320683433252,11.892893736171802,117.56,18223.01,3.67
2014-10-26,206.66610803012748,106.2163160023175,162.06909050984936,10.735527902665122,9.9898152,44.5970175202781,27.771277728852837,16.120051158748552,161.42,24897.9,4.84
2014-10-27,200.43946354166667,106.63767604166667,159.97674625,14.862814166666666,11.207795833333334,40.462717291666664,28.888977291666667,11.96963125,190.36,29427.9,5.91
2014-10-28,200.11307729166666,106.65296895833333,160.04812395833332,15.898810625,11.291833333333333,40.064953333333335,29.676347916666668,11.040349583333333,190.9,29439.37,5.86
2014-10-29,199.64183458333332,106.673310625,159.32830854166667,16.09497,11.130590625,40.31352604166667,31.671567291666666,12.442233958333333,182.9,28081.24,5.72
2014-10-30,199.83191229166667,106.66464229166667,159.617745625,16.166219583333334,11.382490416666666,40.214166666666664,28.556701041666667,11.692131666666667,190.57,29207.4,5.88
2014-10-31,199.7516244680851,106.6659540425532,159.47585978723404,16.19346404255319,11.122294583333334,40.27576468085106,28.50622425531915,11.746853404255319,189.19,29365.75,5.75
2014-11-01,199.97354145833333,106.65442229166666,159.72242375,15.922374375,11.283577083333334,40.25111770833333,29.252879583333332,11.714004791666667,189.29,29331.35,5.75
2014-11-02,199.46070382978724,106.66705191489362,159.35552276595746,16.003978936170213,11.05349875,40.10518106382979,29.011661276595746,11.527993191489362,190.03,29437.11,5.8
2014-11-03,199.78086680851064,106.65309638297872,159.47833382978723,15.786603404255318,11.012475416666666,40.302532978723406,29.080391489361702,11.720658936170214,195.52,30261.75,5.97
2014-11-04,199.983120625,106.64127854166667,159.84784708333333,15.505945833333334,11.214361458333334,40.13527354166666,31.818142916666666,11.538404166666666,193.73,30053.98,6.03
2014-11-05,199.62577791666666,106.65007229166666,159.57965416666667,15.529988541666667,11.249947916666667,40.04612375,32.03341125,11.4538675,191.12,29724.8,6.04
2014-11-06,200.00916770833334,106.6338275,159.80071270833332,15.112048125,11.279213541666667,40.208455,27.6165825,11.612971666666667,191.37,29747.56,6.04
2014-11-07,200.09149979166668,106.62713416666666,159.952728125,14.7801675,11.262324583333333,40.13877166666666,24.80171,11.570024791666667,195.85,30226.77,6.02
2014-11-08,199.88908729166667,106.63127604166667,159.81455520833333,14.895293958333333,11.222880625,40.07453208333333,28.461738333333333,11.5442725,195.26,30501.03,6.39
2014-11-09,199.65845125,106.63507583333333,159.6067975,15.045155625,11.221446041666667,40.05165375,28.974961875,11.53304,193.72,30493.74,6.46
2014-11-10,199.74333085106383,106.62912957446808,159.64020276595744,15.030729361702127,11.2,40.103128085106384,30.21764375,11.455991489361702,184.92,30085.58,6.29
2014-11-11,200.21949375,106.60831520833334,160.13771104166668,14.5740925,11.199129166666667,40.081782708333336,27.073407083333333,11.5256625,192.29,30440.82,6.43
2014-11-12,200.47465895833332,106.59714645833333,160.37514895833334,14.072557708333333,11.18360375,40.09951,23.552546875,11.536250208333334,192.99,30206.23,6.17
2014-11-13,200.46857645833333,106.596103125,160.44116541666668,14.139355625,11.148583333333333,40.02741104166667,25.902562083333333,11.469700416666667,190.12,29841.9,6.06
2014-11-14,200.41216125,106.597205625,160.36829041666667,14.006809375,11.104966458333333,40.04387083333334,24.261866875,11.502567916666667,189.7,29711.93,10.3
2014-11-15,200.25601520833334,106.60070104166667,160.288156875,13.912284166666666,11.120864375,39.96785833333333,23.609758541666668,11.417729583333333,191.69,29940.92,10.26
2014-11-16,199.647881875,106.61968541666667,159.81802041666666,14.168737083333333,11.126952083333334,39.82986145833333,25.017930625,11.285527708333333,189.15,29561.14,10.42
2014-11-17,199.33352604166666,106.6284175,159.55457666666666,14.3475675,11.128404375,39.778949375,27.655074375,11.248009166666666,186.7,28687.79,10.63
2014-11-18,200.19588229166666,106.595573125,160.18966833333334,13.854566458333334,11.071138958333334,40.00621395833333,25.990478333333332,11.442924166666666,191.68,29276.48,10.5
2014-11-19,200.63648875,106.576035,160.77046645833335,13.587923958333333,11.055710833333332,39.86602229166667,25.749707916666665,11.282438958333334,186.82,28584.54,10.25
